epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,17771.6,0.50908,0.27916,0.0022,0.938,0.94756,0.97524,0.83059,0.62784,0.35545,0.01239,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,18070.2,0.51173,0.27295,0.00226,0.9621,0.96425,0.97592,0.8296,0.62535,0.30291,0.01206,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,18347.9,0.50601,0.26278,0.00223,0.95153,0.95765,0.97417,0.82814,0.62319,0.32443,0.01206,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,18647.6,0.50569,0.25691,0.00221,0.90006,0.95308,0.96687,0.82038,0.63023,0.41658,0.01205,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,18947.7,0.49988,0.25694,0.00218,0.83352,0.97953,0.9634,0.81889,0.64738,0.40905,0.01243,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,19244.8,0.5015,0.25092,0.00217,0.83253,0.97605,0.96137,0.81501,0.64736,0.40794,0.01238,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,19543.2,0.49784,0.25265,0.00214,0.88103,0.97212,0.95651,0.81028,0.64449,0.39201,0.01233,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,19821.4,0.50302,0.2437,0.00217,0.85891,0.97707,0.96391,0.81658,0.64806,0.39462,0.01222,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,20119.7,0.4913,0.25263,0.00211,0.81832,0.94891,0.95923,0.81314,0.63724,0.4074,0.01214,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,20418.3,0.49849,0.24685,0.00212,0.87969,0.95178,0.95546,0.80974,0.63622,0.40805,0.01204,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,20715.3,0.48557,0.24267,0.00204,0.92933,0.96228,0.96922,0.82259,0.6399,0.3306,0.01207,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,21012.6,0.48883,0.24249,0.00205,0.85838,0.97838,0.95603,0.81074,0.65255,0.39244,0.01227,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,21291.6,0.48678,0.23402,0.00201,0.80674,0.98063,0.9443,0.79945,0.65628,0.43501,0.01242,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,21589,0.48659,0.23265,0.00202,0.87983,0.95076,0.95284,0.80667,0.65334,0.4298,0.01236,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,21887.5,0.47595,0.23015,0.00197,0.87242,0.94043,0.95616,0.80838,0.66019,0.41981,0.01254,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,22186,0.47732,0.23341,0.00197,0.89489,0.94597,0.95717,0.80975,0.66341,0.41453,0.01251,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,22485.1,0.47963,0.22191,0.00194,0.89374,0.96019,0.95983,0.81343,0.65294,0.39803,0.01226,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,22764.3,0.47614,0.2257,0.00193,0.91384,0.94077,0.96271,0.81743,0.64939,0.36123,0.01214,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,23064.4,0.47257,0.21723,0.00193,0.92522,0.94889,0.96749,0.821,0.63961,0.3533,0.01198,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,23363.5,0.47026,0.21278,0.00189,0.9444,0.96406,0.97333,0.8254,0.64847,0.33509,0.01204,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,23661.2,0.47066,0.19861,0.00186,0.953,0.9633,0.97474,0.82726,0.64455,0.31416,0.01199,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,23960.1,0.46627,0.20955,0.00188,0.9461,0.96132,0.97499,0.82531,0.64238,0.32235,0.01196,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,24239.6,0.45792,0.21541,0.00181,0.92312,0.95357,0.97112,0.82106,0.64594,0.34904,0.01204,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,24539.5,0.45803,0.20459,0.00183,0.88888,0.9611,0.96436,0.81444,0.64764,0.36853,0.01214,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,24837.8,0.44696,0.20101,0.00177,0.88791,0.96039,0.96227,0.81374,0.65199,0.37515,0.01219,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,25137.8,0.45012,0.19423,0.00179,0.89825,0.95645,0.96332,0.81323,0.65546,0.37842,0.01234,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,25437,0.44422,0.19402,0.00175,0.90129,0.95602,0.96483,0.81452,0.66077,0.38759,0.01251,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,25716.7,0.43621,0.19108,0.00172,0.8563,0.97844,0.96523,0.81529,0.66094,0.39108,0.01254,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,26016.4,0.439,0.19046,0.00171,0.84022,0.97625,0.96345,0.81355,0.65726,0.38643,0.01249,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,26316.3,0.43141,0.19779,0.00172,0.84375,0.97205,0.95961,0.81095,0.65253,0.39257,0.01235,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,26615.9,0.43113,0.196,0.00169,0.87554,0.96704,0.95656,0.80822,0.65144,0.39682,0.01226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,26916.1,0.42687,0.1986,0.00166,0.88402,0.95351,0.95719,0.80901,0.64886,0.38431,0.01221,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,27196.8,0.42653,0.17992,0.00169,0.93184,0.93827,0.96103,0.81312,0.65012,0.3708,0.01211,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,27493.8,0.41905,0.18792,0.00164,0.93592,0.94201,0.9621,0.81453,0.65881,0.37264,0.01215,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,27791.9,0.41677,0.17685,0.00163,0.93828,0.93916,0.96384,0.81535,0.65852,0.36202,0.01212,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,28092.8,0.41544,0.17039,0.00161,0.93025,0.94687,0.96327,0.81439,0.65626,0.3642,0.01212,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,28393.4,0.40711,0.17585,0.00159,0.93884,0.94417,0.96463,0.81544,0.65414,0.36238,0.01208,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,28675.3,0.40566,0.16948,0.00155,0.93404,0.94886,0.96368,0.81401,0.65595,0.36426,0.0121,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,28974.9,0.40122,0.16154,0.00152,0.93359,0.94883,0.96365,0.81264,0.65854,0.35515,0.01213,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,29274.7,0.39571,0.15383,0.0015,0.92583,0.94951,0.96345,0.81337,0.65838,0.35266,0.01215,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,29574.8,0.39451,0.15606,0.0015,0.92463,0.96211,0.96419,0.81507,0.65641,0.34674,0.01214,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,29874.3,0.39298,0.15462,0.00149,0.91934,0.95999,0.96552,0.81471,0.66031,0.35011,0.01221,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,30157.3,0.38672,0.14863,0.00146,0.91049,0.96393,0.96606,0.81629,0.65918,0.35011,0.01216,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,30458.1,0.38522,0.14692,0.00148,0.89585,0.9646,0.96512,0.81503,0.6617,0.3541,0.01217,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,30757.5,0.37928,0.1461,0.00145,0.85774,0.96815,0.96279,0.81237,0.66141,0.36322,0.01216,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,31056,0.37214,0.14946,0.00142,0.83849,0.96728,0.96044,0.8098,0.66198,0.37421,0.01221,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,31357.2,0.3726,0.1424,0.00142,0.81658,0.95998,0.95896,0.8086,0.661,0.38424,0.01219,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
