epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,39155,0.52559,0.28593,0.00287,0.95356,0.9685,0.97763,0.83346,0.64772,0.27162,0.01504,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,39781.8,0.52072,0.28508,0.00283,0.95469,0.96764,0.97742,0.83314,0.64801,0.27199,0.01508,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,40421.2,0.51618,0.28591,0.00281,0.95427,0.96927,0.97748,0.83316,0.64763,0.2721,0.01509,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,41050.6,0.5148,0.27797,0.0028,0.95548,0.96789,0.97751,0.83315,0.64769,0.27374,0.01507,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,41678.1,0.51641,0.2806,0.00283,0.95389,0.96853,0.97756,0.83345,0.64537,0.2739,0.01503,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,42319.5,0.51266,0.28348,0.00278,0.95596,0.96783,0.97743,0.8327,0.64783,0.27124,0.01507,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,42946.1,0.51302,0.28047,0.0028,0.95499,0.96812,0.97721,0.83324,0.6478,0.27075,0.01505,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,43557.4,0.51213,0.2828,0.00279,0.95453,0.96868,0.97673,0.83285,0.6465,0.27059,0.01503,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,43816.8,0.50892,0.27565,0.00275,0.95579,0.97017,0.97668,0.83349,0.64637,0.26973,0.01497,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,44068.9,0.50855,0.27361,0.00277,0.95795,0.9682,0.97705,0.83303,0.64569,0.27043,0.01497,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,44324.8,0.50803,0.27263,0.00274,0.9561,0.96932,0.97716,0.83329,0.64511,0.27049,0.01489,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,44586.7,0.50522,0.27623,0.00275,0.95567,0.96889,0.97763,0.8339,0.64364,0.27081,0.01484,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,44848.1,0.50067,0.27485,0.00271,0.95399,0.96865,0.97758,0.83375,0.64307,0.26968,0.01478,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,45110.2,0.50248,0.27278,0.00274,0.95557,0.9696,0.97741,0.83386,0.64197,0.26847,0.01471,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
